Pergunta,Resposta
Qual a diferença entre `null` e `undefined` em JavaScript?,"`null` é um valor de atribuição que representa a ausência intencional de um valor. `undefined` significa que uma variável foi declarada, mas não foi atribuído nenhum valor a ela.

**2.**"
O que é o operador `typeof` e qual é seu uso?,"O operador `typeof` retorna uma string indicando o tipo de dado de um operando. É usado para verificar o tipo de uma variável ou expressão.

**3.**"
"Explique o conceito de ""hoisting"" em JavaScript.","Hoisting é um comportamento onde as declarações de variáveis (com `var`) e funções são movidas para o topo do seu escopo antes da execução do código. Isso permite que você use variáveis e funções antes de declará-las textualmente no seu código, embora com algumas nuances para `var`.

**4.**"
Qual a diferença entre `==` e `===` em JavaScript?,"`==` é o operador de igualdade abstrata, que realiza a conversão de tipo antes da comparação. `===` é o operador de igualdade estrita, que não realiza a conversão de tipo e compara tanto o valor quanto o tipo.

**5.**"
O que são closures em JavaScript?,"Closures são funções que lembram do ambiente lexical em que foram criadas, mesmo quando são executadas fora desse ambiente. Elas permitem que uma função acesse variáveis do escopo externo, mesmo após a função externa ter retornado.

**6.**"
"Como você declara uma variável em JavaScript usando `let`, `const` e `var`? Quais são as diferenças?","`var` é a forma antiga de declarar variáveis, com escopo de função ou global. `let` e `const` foram introduzidos no ES6 e têm escopo de bloco. `let` permite reatribuição, enquanto `const` declara uma constante, cujo valor não pode ser reatribuído após a inicialização.

**7.**"
O que é o objeto `arguments` em JavaScript?,"O objeto `arguments` é um objeto semelhante a um array que está disponível dentro de funções. Ele contém os argumentos passados para a função, independentemente de quantos parâmetros a função tenha definido.

**8.**"
"Explique o conceito de ""escopo"" em JavaScript.","Escopo define a visibilidade e acessibilidade de variáveis e funções em diferentes partes do código. Existem escopo global, escopo de função (com `var`) e escopo de bloco (com `let` e `const`).

**9.**"
O que é uma função anônima em JavaScript?,"Uma função anônima é uma função que não tem um nome identificador. Ela é frequentemente usada em expressões de função e como callbacks.

**10.**"
Como criar um objeto em JavaScript?,"Objetos podem ser criados usando a notação literal de objeto `{}` ou usando o construtor `new Object()`. Também podem ser criados usando classes (introduzidas no ES6).

**11.**"
O que é o `this` em JavaScript?,"`this` refere-se ao objeto no qual a função está sendo executada. Seu valor depende de como a função é chamada.

**12.**"
"O que são ""callbacks"" em JavaScript?","Callbacks são funções passadas como argumentos para outras funções, que são então executadas dentro da função principal, geralmente após a conclusão de alguma operação.

**13.**"
O que é o método `bind()` em JavaScript e qual é seu uso?,"`bind()` cria uma nova função que, quando chamada, tem seu `this` definido para o valor fornecido. É usado para fixar o valor de `this` em uma função.

**14.**"
Qual a diferença entre `apply()` e `call()` em JavaScript?,"Ambos `apply()` e `call()` são usados para chamar uma função com um valor específico para `this`. A diferença é que `call()` aceita argumentos individualmente, enquanto `apply()` aceita argumentos como um array.

**15.**"
O que é o método `map()` em JavaScript e qual é seu uso?,"`map()` é um método de array que cria um novo array com os resultados da chamada de uma função fornecida em cada elemento do array original.

**16.**"
O que é o método `filter()` em JavaScript e qual é seu uso?,"`filter()` é um método de array que cria um novo array com todos os elementos que passam no teste implementado pela função fornecida.

**17.**"
O que é o método `reduce()` em JavaScript e qual é seu uso?,"`reduce()` é um método de array que executa uma função ""reducer"" (fornecida por você) em cada elemento do array, resultando em um único valor de retorno.

**18.**"
Como você itera sobre as propriedades de um objeto em JavaScript?,"Você pode usar um loop `for...in` para iterar sobre as propriedades enumeráveis de um objeto.

**19.**"
O que é o operador ternário em JavaScript?,"O operador ternário é uma forma abreviada de escrever uma instrução `if...else`. Sua sintaxe é `condição ? expressãoSeVerdadeira : expressãoSeFalsa`.

**20.**"
O que é o método `parseInt()` em JavaScript e qual é seu uso?,"`parseInt()` analisa uma string e retorna um inteiro. Opcionalmente, pode receber um segundo argumento que especifica a base numérica.

**21.**"
O que é o método `parseFloat()` em JavaScript e qual é seu uso?,"`parseFloat()` analisa uma string e retorna um número de ponto flutuante.

**22.**"
Explique o que é a coerção de tipo em JavaScript.,"Coerção de tipo é a conversão automática de um tipo de dado para outro pelo JavaScript. Isso pode acontecer durante operações matemáticas, comparações, ou outras situações.

**23.**"
O que são Template Literals (Template Strings) em JavaScript?,"Template literals são strings delimitadas por backticks (``), que permitem a interpolação de variáveis e expressões dentro da string usando `${}`.

**24.**"
O que são Arrow Functions em JavaScript?,"Arrow functions são uma sintaxe mais concisa para escrever funções anônimas. Elas também têm um comportamento diferente em relação ao `this`.

**25.**"
Como você lida com erros em JavaScript usando `try...catch`?,"O bloco `try` contém o código que pode lançar uma exceção. O bloco `catch` captura a exceção se ela for lançada e permite que você a trate.

**26.**"
